bounce,category,category_rank,country_rank,global_rank,organic_search,paid_search,ppv,time,traffic_direct,traffic_display,traffic_mail,traffic_referrals,traffic_search,traffic_social,url,visits
29.64,Vehicles,680,83902,249905,100,0,5.86,00:03:16,30.99,0,0.2,11.49,52.65,4.67,corksport.com,104200
55.12,Vehicles,9896,135367,460702,100,0,1.57,00:00:46,18.22,0,0,2.12,79.67,0,commandocaralarms.com,89200
29.89,Vehicles,844,75080,309139,83.38,16.62,4.99,00:02:50,10,0.43,1.69,7,80.87,0,kauffmantire.com,79300
12.88,Vehicles,7707,88677,362716,100,0,10.87,00:04:18,69.45,0,0,6.08,24.46,0,corvair.com,68300
55.73,Vehicles,14216,196337,644770,100,0,1.53,00:00:47,32.12,0,0.6,3.93,55.23,8.12,oldbug.com,61600
32.01,Vehicles,4592,553772,475161,100,0,8.02,00:03:59,11.09,0.76,0,9.01,78.95,0.19,xtrons.com,35000
31.69,Vehicles,1041,85721,342494,99.38,0.62,2.84,00:03:02,6.17,0,0,2.55,91.28,0,classicvans.com,99800
26.55,Vehicles,556,17666,207792,100,0,16.59,00:10:02,16.25,0,0.78,31.61,50.93,0.43,europerformance.co.uk,79800
47.97,Vehicles,5224,86280,254903,100,0,2.5,00:01:19,19.1,0,0,8.52,71.84,0.54,rocky-road.com,161900
45.22,Vehicles,21020,28163,235165,86.59,13.41,6.74,00:03:28,20.3,0,5.69,8.18,57.55,8.28,dirtbikebitz.com,116500
20.53,Vehicles,9334,122440,436699,92.49,7.51,5.32,00:04:06,13.73,0,1.51,23.44,60.99,0.33,arnottindustries.com,56500
